M,TICKS,TICK Time (sec),lambda,L : Packet length (bits),C = bits per secound,K: Buffer capacity (zero = inf),Service Time (Ticks),E[N] Avg num of packets in queue,E[T] Avg sojourn time (sec),P_Loss - packet loss,P_Idle - server idle (sec),Total Packets,Average Time (sec),Total Time (sec)
5,600000000,0.001,250,2000,1000000,10,2000,149751,991.2526190294653,0,0.0000009995019039206504,0.24740308741233846,9.259729619999998,46.3076486
5,600000000,0.001,250,2000,1000000,25,2000,150123.2,1000.7515073577677,0,0.0000009994994207483338,0.2504003307506672,9.25252922,46.2726466
5,600000000,0.001,250,2000,1000000,50,2000,150356.4,1006.4816608392824,0,0.000000999497864695983,0.25222319942037197,9.245928860000001,46.2396447
5,600000000,0.001,300,2000,1000000,10,2000,179566,1482.4100943802666,0.000000000016726418156402654,0.0000009992550636441288,0.4436583390727639,8.926910580000001,44.6445535
5,600000000,0.001,300,2000,1000000,25,2000,180164.8,1505.9336952161962,0,0.0000009992488495725824,0.45219318275365533,8.912909780000001,44.5735494
5,600000000,0.001,300,2000,1000000,50,2000,179568.2,1483.816375904227,0,0.0000009992550263542565,0.44408983374014965,8.90730948,44.5465479
5,600000000,0.001,350,2000,1000000,10,2000,209975.2,2314.613074272328,0.00000000030477009723660945,0.0000009988363000745237,0.8097942233496571,8.56128968,42.8154489
5,600000000,0.001,350,2000,1000000,25,2000,209784.4,2332.7076411667144,0,0.0000009988386663525783,0.8156129496926884,8.56789004,42.8494509
5,600000000,0.001,350,2000,1000000,50,2000,210386.8,2341.6069138298726,0,0.000000998827528905391,0.8210704223684507,8.56008962,42.8104487
5,600000000,0.001,400,2000,1000000,10,2000,239797.8,3755.418648968202,0.0000000022954604186512192,0.000000998034790543492,1.4974563654957607,8.25787234,41.2983622
5,600000000,0.001,400,2000,1000000,25,2000,240149.8,4037.5369197981827,0.000000000010007585609524379,0.0000009979978215938205,1.6159987590266645,8.52108738,42.6154374
5,600000000,0.001,400,2000,1000000,50,2000,239945.8,3982.665106660768,0,0.0000009980060275901325,1.5927228609878714,8.47448472,42.3814241
5,600000000,0.001,450,2000,1000000,10,2000,269804.6,6228.697362022023,0.000000012899949598742213,0.0000009960598936577615,2.7648420129414033,8.162466859999999,40.8213348
5,600000000,0.001,450,2000,1000000,25,2000,269943.6,8715.504688863342,0.0000000005206323701349408,0.0000009955535779762024,3.919397429532329,8.123264639999999,40.6263237
5,600000000,0.001,450,2000,1000000,50,2000,270293.8,9216.104376832447,0.0000000000014798974431071927,0.000000995471996066596,4.151737259919562,8.084262419999998,40.4313126
5,600000000,0.001,500,2000,1000000,10,2000,299806.2,9646.71530179758,0.00000004536425438881617,0.0000009897353153717326,4.60155804833593,7.9756562,39.8882815
5,600000000,0.001,500,2000,1000000,25,2000,299478.6,24338.73582341231,0.000000018660116298747756,0.0000009765401567512975,11.921541638869238,7.85684936,39.2942475
5,600000000,0.001,500,2000,1000000,50,2000,299921.6,49290.57282256453,0.000000009767066127689458,0.0000009528384371827479,24.39781956866303,7.796045879999999,38.98923
5,600000000,0.001,550,2000,1000000,10,2000,330298.6,12937.832239705374,0.00000010437393533876668,0.0000009657858608283714,6.378827183964712,7.95185484,39.7682746
5,600000000,0.001,550,2000,1000000,25,2000,330031.6,40026.95146373735,0.00000009158634977290153,0.0000005933926477340924,19.99982871733305,7.861249620000001,39.3162487
5,600000000,0.001,550,2000,1000000,50,2000,330041.8,89518.28743731798,0.00000009090072290175797,0.00000002121976766265093,44.762254704603755,7.877450540000001,39.3962533
5,600000000,0.001,600,2000,1000000,10,2000,359989.2,15126.401112330757,0.00000016944025168216423,0.0000008710691484003824,7.537701036562835,7.82264744,39.1232377
5,600000000,0.001,600,2000,1000000,25,2000,360057,44683.626005911006,0.0000001667396024383025,0.000000023368920356576482,22.342521611904203,7.70804088,38.5502049
5,600000000,0.001,600,2000,1000000,50,2000,359963.4,94631.95704600126,0.00000016645208466482838,0.000000011196523735083338,47.319640662866064,7.700440420000001,38.5112027
5,600000000,0.001,650,2000,1000000,10,2000,389712.8,16414.991640900225,0.0000002308283774458757,0.0000006279291250964702,8.20069616200116,7.771644500000001,38.8682231
5,600000000,0.001,650,2000,1000000,25,2000,389606,46344.588968714386,0.00000022992795312995895,0.00000000808146928794696,23.173193287955325,7.797445999999999,38.9972305
5,600000000,0.001,650,2000,1000000,50,2000,390189.6,96336.66590100052,0.00000023101977408854328,0.000000007770061030615078,48.17217949528697,10.4325967,52.1719841
5,600000000,0.001,700,2000,1000000,10,2000,419958.8,17203.35605081549,0.0000002857665325201126,0.00000028935406155499986,8.60004089600007,7.828247760000001,39.1492392
5,600000000,0.001,700,2000,1000000,25,2000,419956.2,47207.89816466667,0.00000028558222854413786,0.0000000000919576994582492,23.604931953674885,7.960655320000001,39.8132772
5,600000000,0.001,700,2000,1000000,50,2000,419889.4,97178.80379419167,0.00000028541010414578646,0.0000000064260941104353865,48.59320965732202,7.889451259999999,39.4562568
5,600000000,0.001,750,2000,1000000,10,2000,450131.4,17709.270616433943,0.0000003335341859394046,0.0000000806858994574465,8.854389979423983,7.918452900000001,39.6022652
5,600000000,0.001,750,2000,1000000,25,2000,450260,47715.90538772077,0.00000033366321086624485,0.00000000522221318683983,23.858864397764773,8.013058319999999,40.0752922
5,600000000,0.001,750,2000,1000000,50,2000,449625.4,97681.86480375058,0.0000003326681123329837,0.0000000044773795438519805,48.8449218064082,7.963255479999999,39.8262779
